miRNA,disease,reference
hsa-mir-665,Follicle-stimulating hormone deficiency and isolated,HMDD
hsa-mir-665,Multiple Sclerosis,HMDD
hsa-mir-665,Tuberculosis,HMDD
hsa-mir-665,Angelman Syndrome,HMDD
hsa-mir-665,Dysautonomia and Familial,HMDD
hsa-mir-665,Colorectal Neoplasms,HMDD
hsa-mir-665,Acute Kidney Injury,HMDD
hsa-mir-665,Neuroblastoma,HMDD
hsa-mir-665,Uterine Cervical Neoplasms,HMDD
hsa-mir-665,Ovarian Neoplasms,HMDD
hsa-mir-665,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-665,Precursor Cell Lymphoblastic Leukemia-Lymphoma,HMDD
hsa-mir-665,breast cancer,HMDD
hsa-mir-665,Optic Atrophy and Hereditary and Leber,HMDD
hsa-mir-665,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-766,Inflammation,HMDD
hsa-mir-766,Norrie disease,HMDD
hsa-mir-766,Arthritis and Rheumatoid,HMDD
hsa-mir-766,Histiocytic Sarcoma,HMDD
hsa-mir-766,Pancreatic Carcinoma,HMDD
hsa-mir-766,Spinal Cord Injuries,HMDD
hsa-mir-766,Leukemia and Myelogenous and Chronic and BCR-ABL Positive,HMDD
hsa-mir-766,Carcinoma and Squamous Cell and Cutaneous,HMDD
hsa-mir-766,Pulmonary Fibrosis,HMDD
hsa-mir-766,Intestinal Diseases,HMDD
hsa-mir-766,Sepsis,HMDD
hsa-mir-4701,Carcinoma and Hepatocellular,HMDD
hsa-mir-4701,Osteoarthritis,HMDD
hsa-mir-4701,Arthritis and Rheumatoid,HMDD
hsa-mir-4701,lung cancer,HMDD
hsa-mir-497,Osteoarthritis,HMDD
hsa-mir-497,Hypoxia,HMDD
hsa-mir-497,Fibrosis,HMDD
hsa-mir-497,Heart Diseases,HMDD
hsa-mir-497,Norrie disease,HMDD
hsa-mir-497,Autoimmune Diseases,HMDD
hsa-mir-497,Polycystic Ovary Syndrome,HMDD
hsa-mir-497,Pulmonary Fibrosis,HMDD
hsa-mir-497,Multiple Sclerosis,HMDD
hsa-mir-497,Neurotoxicity Syndromes,HMDD
hsa-mir-497,Poikiloderma with Neutropenia,HMDD
hsa-mir-497,Osteoporosis-pseudoglioma syndrome,HMDD
hsa-mir-497,Heart Injuries,HMDD
hsa-mir-497,Inflammation,HMDD
hsa-mir-497,Pancreatic Carcinoma,HMDD
hsa-mir-497,Fractures and Bone,HMDD
hsa-mir-497,Nasopharyngeal Carcinoma,HMDD
hsa-mir-497,Carcinoma and Renal Cell,HMDD
hsa-mir-497,Alzheimer Disease,HMDD
hsa-mir-497,Glioblastoma,HMDD
hsa-mir-497,Lung Injury,HMDD
hsa-mir-497,Diabetic Nephropathies,HMDD
hsa-mir-497,Heart Failure,HMDD
hsa-mir-497,Oral Submucous Fibrosis,HMDD
hsa-mir-497,Liver Cirrhosis,HMDD
hsa-mir-497,Carcinoma and Squamous Cell and Cutaneous,HMDD
hsa-mir-497,Esophageal Neoplasms,HMDD
hsa-mir-497,Postoperative Cognitive Complications,HMDD
hsa-mir-497,Inflammatory Bowel Diseases,HMDD
hsa-mir-497,Corneal Neovascularization,HMDD
hsa-mir-34b,Sialorrhea,HMDD
hsa-mir-34b,Neurotoxicity Syndromes,HMDD
hsa-mir-34b,Mental Disorders,HMDD
hsa-mir-34b,Respiratory Syncytial Virus Infections,HMDD
hsa-mir-34b,Neurodevelopmental Disorders,HMDD
hsa-mir-34b,Corneal Endothelium   Failure,HMDD
hsa-mir-34b,Carcinoma and Ductal and Breast,HMDD
hsa-mir-34b,Diabetes and Gestational,HMDD
hsa-mir-34b,Myocardial Reperfusion Injury,HMDD
hsa-mir-34b,Depression and Post Stroke,HMDD
hsa-mir-34b,Esophageal Neoplasms,HMDD
hsa-mir-34b,Cardiomyopathies,HMDD
hsa-mir-34b,Dementia and Vascular,HMDD
hsa-mir-34b,Retinoblastoma,HMDD
hsa-mir-34b,Parkinson Disease,HMDD
hsa-mir-34b,Acute Lung Injury,HMDD
hsa-mir-502,Colonic Neoplasms,HMDD
hsa-mir-502,Osteoarthritis,HMDD
hsa-mir-502,Leukemia and Myeloid and Acute,HMDD
hsa-mir-502,Intracranial Aneurysm,HMDD
hsa-mir-502,Subarachnoid Hemorrhage,HMDD
hsa-mir-539,Osteoarthritis,HMDD
hsa-mir-539,Sepsis,HMDD
hsa-mir-539,Pseudarthrosis,HMDD
hsa-mir-539,breast cancer,HMDD
hsa-mir-539,Choroidal Neovascularization,HMDD
hsa-mir-539,Carcinoma and Ovarian Epithelial,HMDD
hsa-mir-539,Pulmonary Arterial Hypertension,HMDD
hsa-mir-539,Scleroderma and Systemic,HMDD
hsa-mir-539,Colonic Neoplasms,HMDD
hsa-mir-539,Thyroid Cancer and Papillary,HMDD
hsa-mir-653,Osteosarcoma,HMDD
hsa-mir-653,Osteoarthritis,HMDD
hsa-mir-146,Melanoma,HMDD
hsa-mir-146,Asthma,HMDD
hsa-mir-146,Thyroid Cancer and Papillary,HMDD
hsa-mir-146,breast cancer,HMDD
hsa-mir-146,Inflammation,HMDD
hsa-mir-146,Kidney Diseases,HMDD
hsa-mir-31,Urinary Bladder Neoplasms,HMDD
hsa-mir-31,Osteoarthritis,HMDD
hsa-mir-31,Vascular Diseases,HMDD
hsa-mir-31,Hypoadrenocorticism and Familial,HMDD
hsa-mir-31,Osteosarcoma,HMDD
hsa-mir-31,Enterovirus B and Human,HMDD
hsa-mir-31,Diabetic Foot,HMDD
hsa-mir-31,Arthritis and Rheumatoid,HMDD
hsa-mir-31,Intracranial Aneurysm,HMDD
hsa-mir-31,Stomach Neoplasms,HMDD
hsa-mir-31,Glioblastoma,HMDD
hsa-mir-31,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-31,Lung Injury,HMDD
hsa-mir-31,Colorectal Neoplasms,HMDD
hsa-mir-31,Brain Ischemia,HMDD
hsa-mir-31,Thyroiditis and Autoimmune,HMDD
hsa-mir-543,Colorectal Neoplasms,HMDD
hsa-mir-543,Duane Retraction Syndrome,HMDD
hsa-mir-543,Parkinson Disease,HMDD
hsa-mir-543,Acute Kidney Injury,HMDD
hsa-mir-543,Sepsis,HMDD
hsa-mir-543,Diabetic Nephropathies,HMDD
hsa-mir-543,Stomach Neoplasms,HMDD
hsa-mir-543,Glioma,HMDD
hsa-mir-543,Primary Myelofibrosis,HMDD
hsa-mir-543,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-543,Leukemia,HMDD
hsa-mir-543,Pituitary Neoplasms,HMDD
hsa-mir-543,Periodontitis,HMDD
hsa-mir-543,Osteosarcoma,HMDD
hsa-mir-543,Osteoporosis,HMDD
hsa-mir-543,Liver Neoplasms,HMDD
hsa-mir-365a,Esophageal Neoplasms,HMDD
hsa-mir-365a,Neoplasms and Second Primary,HMDD
hsa-mir-365a,Neurodegenerative Diseases,HMDD
hsa-mir-365a,Colorectal Neoplasms,HMDD
hsa-mir-365a,Osteosarcoma,HMDD
hsa-mir-365a,lung cancer,HMDD
hsa-mir-365a,Pancreatic Carcinoma,HMDD
hsa-mir-365a,Hypertension,HMDD
hsa-mir-365a,Pancreatitis,HMDD
hsa-mir-365a,Inflammation,HMDD
hsa-mir-365a,Liver Neoplasms,HMDD
hsa-mir-365a,Urinary Bladder Neoplasms,HMDD
hsa-mir-515,Choriocarcinoma,HMDD
hsa-mir-515,Leukemia and Myeloid and Acute,HMDD
hsa-mir-515,Uterine Cervical Neoplasms,HMDD
hsa-mir-515,Arthritis and Rheumatoid,HMDD
hsa-mir-515,Polycystic Ovary Syndrome,HMDD
hsa-mir-467b,Prostatic Neoplasms,HMDD
hsa-mir-467,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-613,Polycystic Ovary Syndrome,HMDD
hsa-mir-613,Glioma,HMDD
hsa-mir-613,Leukemia,HMDD
hsa-mir-613,Alzheimer Disease,HMDD
hsa-mir-613,Colonic Neoplasms,HMDD
hsa-mir-613,Laryngeal Neoplasms,HMDD
hsa-mir-85,breast cancer,HMDD
hsa-mir-202,Moebius syndrome 1,HMDD
hsa-mir-202,Pathologic Processes,HMDD
hsa-mir-202,Carcinoma and Embryonal,HMDD
hsa-mir-202,Osteosarcoma,HMDD
hsa-mir-202,Varicose Veins,HMDD
hsa-mir-202,Neuralgia,HMDD
hsa-mir-202,Ovarian Neoplasms,HMDD
hsa-mir-202,Myocardial Reperfusion Injury,HMDD
hsa-mir-202,Ischemic Stroke,HMDD
hsa-mir-202,Nerve Degeneration,HMDD
hsa-mir-202,Neurologic Manifestations,HMDD
hsa-mir-202,Endometrial Neoplasms,HMDD
hsa-mir-202,Thyroid Cancer and Papillary,HMDD
hsa-mir-202,Atherosclerosis,HMDD
hsa-mir-148,Carcinoma and Hepatocellular,HMDD
hsa-mir-148,Osteoarthritis,HMDD
hsa-mir-148,Mycobacterium Infections and Nontuberculous,HMDD
hsa-mir-148,Stomach Neoplasms,HMDD
hsa-mir-148,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-148,Carcinoma and Renal Cell,HMDD
hsa-mir-148,Glioblastoma,HMDD
hsa-mir-374a,Seizures and Febrile,HMDD
hsa-mir-374a,breast cancer,HMDD
hsa-mir-374a,Fibrosis,HMDD
hsa-mir-374a,Palatal Neoplasms,HMDD
hsa-mir-374a,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-374a,Ovarian Neoplasms,HMDD
hsa-mir-374a,Myocardial Reperfusion Injury,HMDD
hsa-mir-374a,Hypoxia-Ischemia and Brain and Newborn,HMDD
hsa-mir-374a,Inflammation,HMDD
hsa-mir-374a,Urinary Bladder Neoplasms,HMDD
hsa-mir-374a,Pancreatic Carcinoma,HMDD
hsa-mir-374a,Osteosarcoma,HMDD
hsa-mir-382,Osteoarthritis,HMDD
hsa-mir-382,Osteoarthritis and Knee,HMDD
hsa-mir-382,Colorectal Neoplasms,HMDD
hsa-mir-382,Liver Neoplasms,HMDD
hsa-mir-382,Diabetes Mellitus and Type 2,HMDD
hsa-mir-382,Premature Birth,HMDD
hsa-mir-382,Bronchopulmonary Dysplasia,HMDD
hsa-mir-382,Ovarian Neoplasms,HMDD
hsa-mir-382,Porcine Reproductive and Respiratory Syndrome,HMDD
hsa-mir-382,Leukemia and Promyelocytic and Acute,HMDD
hsa-mir-382,Depression,HMDD
hsa-mir-382,Depression and Postpartum,HMDD
hsa-mir-490,Osteoarthritis,HMDD
hsa-mir-490,Cartilage Diseases,HMDD
hsa-mir-490,Periodontal Diseases,HMDD
hsa-mir-490,Tibial Meniscus Injuries,HMDD
hsa-mir-490,Pancreatic Carcinoma,HMDD
hsa-mir-490,Postoperative Cognitive Complications,HMDD
hsa-mir-490,Leukemia and Myeloid and Acute,HMDD
hsa-mir-490,Cholangiocarcinoma,HMDD
hsa-mir-490,Atherosclerosis,HMDD
hsa-mir-490,Nasopharyngeal Carcinoma,HMDD
hsa-mir-490,Esophageal Neoplasms,HMDD
hsa-mir-127,Mucocutaneous Lymph Node Syndrome,HMDD
hsa-mir-127,Obesity,HMDD
hsa-mir-127,Muscular Dystrophy and Duchenne,HMDD
hsa-mir-127,Bone Marrow Diseases,HMDD
hsa-mir-127,Premature Birth,HMDD
hsa-mir-127,Lupus Nephritis,HMDD
hsa-mir-127,Prostatic Neoplasms,HMDD
hsa-mir-127,Meningioma,HMDD
hsa-mir-127,Carcinoma and Squamous Cell and Cutaneous,HMDD
hsa-mir-127,Carcinoma and Endometrioid,HMDD
hsa-mir-127,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-127,Pneumonia,HMDD
hsa-mir-127,Esophageal Neoplasms,HMDD
hsa-mir-127,Pulmonary Fibrosis,HMDD
hsa-mir-512,Osteoarthritis,HMDD
hsa-mir-512,Myocardial Infarction,HMDD
hsa-mir-512,Stomach Neoplasms,HMDD
hsa-mir-512,Melanoma,HMDD
hsa-mir-758,Colorectal Neoplasms,HMDD
hsa-mir-758,Cartilage Diseases,HMDD
hsa-mir-758,breast cancer,HMDD
hsa-mir-758,Ovarian Neoplasms,HMDD
hsa-mir-378,Colorectal Neoplasms,HMDD
hsa-mir-378,Bone Diseases,HMDD
hsa-mir-378,Osteoporosis and Postmenopausal,HMDD
hsa-mir-378,Carcinoma and Hepatocellular,HMDD
hsa-mir-378,Glioblastoma,HMDD
hsa-mir-378,Liver Failure and Acute,HMDD
hsa-mir-378,Periodontitis,HMDD
hsa-mir-378,Osteoarthritis,HMDD
hsa-mir-378,Glomerulonephritis and Membranoproliferative,HMDD
hsa-mir-378,Neuralgia,HMDD
hsa-mir-378,Cardiomyopathies,HMDD
hsa-mir-378,Metabolic Diseases,HMDD
hsa-mir-15,Colorectal Neoplasms,HMDD
hsa-mir-15,Atrial Premature Complexes,HMDD
hsa-mir-15,Inflammation,HMDD
hsa-mir-15,Digestive System Neoplasms,HMDD
hsa-mir-15,Herpes Simplex,HMDD
hsa-mir-15,Endocrine Gland Neoplasms,HMDD
hsa-mir-15,lung cancer,HMDD
hsa-mir-15,Osteoporosis,HMDD
hsa-mir-15,Pancreatitis and Chronic,HMDD
hsa-mir-15,Thyroid Neoplasms,HMDD
hsa-mir-15,Urinary Bladder Neoplasms,HMDD
hsa-mir-15,Cardiomyopathies,HMDD
hsa-mir-15,Viral Myocarditis,HMDD
hsa-mir-15,Hypoxia-Ischemia and Brain,HMDD
hsa-mir-15,Carcinoma and Renal Cell,HMDD
hsa-mir-675,Venous Thrombosis,HMDD
hsa-mir-675,Bone Diseases,HMDD
hsa-mir-675,Adenomatous Polyposis Coli,HMDD
hsa-mir-675,Lyme Disease,HMDD
hsa-mir-675,Wilms Tumor,HMDD
hsa-mir-675,lung cancer,HMDD
hsa-mir-675,Muscular Dystrophy and Duchenne,HMDD
hsa-mir-675,Subarachnoid Hemorrhage,HMDD
hsa-mir-675,Leukemia and Myelogenous and Chronic and BCR-ABL Positive,HMDD
hsa-mir-675,Vasospasm and Intracranial,HMDD
hsa-mir-675,Obesity,HMDD
hsa-mir-675,Myocardial Reperfusion Injury,HMDD
hsa-mir-675,Pulmonary Arterial Hypertension,HMDD
hsa-mir-675,pancreatic cancer,HMDD
hsa-mir-607,breast cancer,HMDD
hsa-mir-607,Carcinoma and Squamous Cell,HMDD
hsa-mir-607,Immune System Diseases,HMDD
hsa-mir-607,Lymphoproliferative Disorders,HMDD
hsa-mir-607,Aspergillosis,HMDD
hsa-mir-181a-2,Renal Insufficiency and Chronic,HMDD
hsa-mir-181a-2,Colorectal Neoplasms,HMDD
hsa-mir-335,Pneumonia,HMDD
hsa-mir-335,Opitz GBBB Syndrome and X-Linked,HMDD
hsa-mir-335,Insulin Resistance,HMDD
hsa-mir-335,Glaucoma,HMDD
hsa-mir-335,Adrenal Cortex Neoplasms,HMDD
hsa-mir-335,Aortic Dissection,HMDD
hsa-mir-335,Asthma,HMDD
hsa-mir-335,Fibrosis and Airway,HMDD
hsa-mir-35,breast cancer,HMDD
hsa-mir-335,Melanoma,HMDD
hsa-mir-335,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-335,Retinoblastoma,HMDD
hsa-mir-335,Brain Neoplasms,HMDD
hsa-mir-335,Glioblastoma,HMDD
hsa-mir-335,Aortic Valve Disease,HMDD
hsa-mir-335,Anemia and Aplastic,HMDD
hsa-mir-335,Diabetic Nephropathies,HMDD
hsa-mir-335,Mucocutaneous Lymph Node Syndrome,HMDD
hsa-mir-335,Osteoarthritis,HMDD
hsa-mir-335,Hepatoblastoma,HMDD
hsa-mir-335,Atrial Myosins,HMDD
hsa-mir-335,Nasopharyngitis,HMDD
hsa-mir-335,Corneal Neovascularization,HMDD
hsa-mir-335,Prostatic Neoplasms,HMDD
hsa-mir-335,Pre-Eclampsia,HMDD
hsa-mir-335,Myocardial Reperfusion Injury,HMDD
hsa-mir-35,Brain Injuries and Traumatic,HMDD
hsa-mir-335,Reperfusion Injury,HMDD
hsa-mir-35,Sepsis,HMDD
hsa-mir-335,Fibromatosis and Gingival,HMDD
hsa-mir-335,Brain Injuries,HMDD
hsa-mir-98,Urinary Bladder Neoplasms,HMDD
hsa-mir-98,Osteoporosis,HMDD
hsa-mir-98,Arthritis and Rheumatoid,HMDD
hsa-mir-98,Cardiomyopathies,HMDD
hsa-mir-98,Myocardial Infarction,HMDD
hsa-mir-98,Osteoporosis-pseudoglioma syndrome,HMDD
hsa-mir-98,Lesch-Nyhan Syndrome,HMDD
hsa-mir-98,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-98,Alzheimer Disease,HMDD
hsa-mir-98,Intervertebral Disc Degeneration,HMDD
hsa-mir-98,Ischemic Stroke,HMDD
hsa-mir-98,Neuroblastoma,HMDD
hsa-mir-98,Mesothelioma,HMDD
hsa-mir-98,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-98,Leukemia and Myeloid and Acute,HMDD
hsa-mir-98,Polycystic Ovary Syndrome,HMDD
hsa-mir-690,lung cancer,HMDD
hsa-mir-690,Aicardi-Goutieres syndrome 5,HMDD
hsa-mir-690,Muscular Atrophy,HMDD
hsa-mir-365,Inflammation,HMDD
hsa-mir-365,Anovulation,HMDD
hsa-mir-365,Short QT Syndrome 2,HMDD
hsa-mir-365,Short Qt Syndrome,HMDD
hsa-mir-365,Infantile convulsions and paroxysmal choreoathetosis and familial,HMDD
hsa-mir-365,Diabetic Nephropathies,HMDD
hsa-mir-365,Melanoma,HMDD
hsa-mir-365,Ovarian Neoplasms,HMDD
hsa-mir-365,Precancerous Conditions,HMDD
hsa-mir-365,Diabetic Retinopathy,HMDD
hsa-mir-365,Brain Ischemia,HMDD
hsa-mir-365,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-101a,Stomach Neoplasms,HMDD
hsa-mir-101a,Inflammation,HMDD
hsa-mir-101a,Myocardial Ischemia,HMDD
hsa-mir-101a,Parkinson Disease,HMDD
hsa-mir-101a,Acute Liver Injury,HMDD
hsa-mir-184,Spinal Cord Ischemia,HMDD
hsa-mir-184,Inflammation,HMDD
hsa-mir-184,Cardiomyopathy dilated with woolly hair and keratoderma,HMDD
hsa-mir-184,Keratitis,HMDD
hsa-mir-184,Macular Degeneration,HMDD
hsa-mir-184,Carcinoma and Renal Cell,HMDD
hsa-mir-184,Fibrosis and Renal,HMDD
hsa-mir-184,Brain Injuries,HMDD
hsa-mir-184,Echinococcosis,HMDD
hsa-mir-184,Liver Cirrhosis,HMDD
hsa-mir-184,Retinoblastoma,HMDD
hsa-mir-184,Idiopathic Pulmonary Fibrosis,HMDD
hsa-mir-20,Hypoxia,HMDD
hsa-mir-20,Norrie disease,HMDD
hsa-mir-20,Hypertension and Pulmonary,HMDD
hsa-mir-20,Iron Metabolism Disorders,HMDD
hsa-mir-20,Osteoarthritis,HMDD
hsa-mir-20,Diabetic Retinopathy,HMDD
hsa-mir-20,Carcinoma and Hepatocellular,HMDD
hsa-mir-20,Hyperlipidemias,HMDD
hsa-mir-20,Heart Diseases,HMDD
hsa-mir-20,Cardiomyopathies,HMDD
hsa-mir-20,Cardiomegaly,HMDD
hsa-mir-20,Burns,HMDD
hsa-mir-20,Reperfusion Injury,HMDD
hsa-mir-20,Depression,HMDD
hsa-mir-215,Glioblastoma,HMDD
hsa-mir-215,Sepsis,HMDD
hsa-mir-215,Neurotoxicity Syndromes,HMDD
hsa-mir-215,Myocarditis,HMDD
hsa-mir-215,Acidosis,HMDD
hsa-mir-215,Wilms Tumor,HMDD
hsa-mir-215,Multiple Myeloma,HMDD
hsa-mir-215,Mesothelioma,HMDD
hsa-mir-215,Heart Failure,HMDD
hsa-mir-215,lung cancer,HMDD
hsa-mir-215,Diabetic Nephropathies,HMDD
hsa-mir-215,Uterine Cervical Neoplasms,HMDD
hsa-mir-215,Crohn Disease,HMDD
hsa-mir-215,Retinoblastoma,HMDD
hsa-mir-6873,Psoriasis,HMDD
hsa-mir-219,Inflammation,HMDD
hsa-mir-219,Borderline Personality Disorder,HMDD
hsa-mir-219,breast cancer,HMDD
hsa-mir-219,Liver Cirrhosis,HMDD
hsa-mir-219,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-219,Heart Defects and Congenital,HMDD
hsa-mir-219,Endometrial Neoplasms,HMDD
hsa-mir-1285,lung cancer,HMDD
hsa-mir-1285,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-1285,Ovarian Neoplasms,HMDD
hsa-mir-1260,Diabetes Mellitus and Type 2,HMDD
hsa-mir-1260,Edwardsiella tarda,HMDD
hsa-mir-614,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-642a,lung cancer,HMDD
hsa-mir-642a,Inflammation,HMDD
hsa-mir-642a,Lung Injury,HMDD
hsa-mir-642a,Respiratory Distress Syndrome,HMDD
hsa-mir-642a,Acute Lung Injury,HMDD
hsa-mir-642a,Attention Deficit Disorder with Hyperactivity,HMDD
hsa-mir-642a,Glioblastoma,HMDD
hsa-mir-642a,Prostatic Neoplasms,HMDD
hsa-mir-642a,Wilms Tumor,HMDD
hsa-mir-642a,Gallbladder Neoplasms,HMDD
hsa-mir-1193,Carcinoma and Hepatocellular,HMDD
hsa-mir-1193,Arthritis and Rheumatoid,HMDD
hsa-mir-1193,Glioblastoma,HMDD
hsa-mir-449b,Inflammation,HMDD
hsa-mir-449b,Stomach Neoplasms,HMDD
hsa-mir-449b,Sepsis,HMDD
hsa-mir-449b,Cardiomyopathies,HMDD
hsa-mir-449b,Diabetic Nephropathies,HMDD
hsa-mir-449b,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-449b,Carcinoma and Pancreatic Ductal,HMDD
hsa-mir-449b,Carcinoma and Endometrioid,HMDD
hsa-mir-449b,Osteoporosis,HMDD
hsa-mir-449b,Endometrial Neoplasms,HMDD
hsa-mir-489,Glioma,HMDD
hsa-mir-489,Atherosclerosis,HMDD
hsa-mir-489,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-489,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-489,Congenital Hypothyroidism,HMDD
hsa-mir-489,Melanoma,HMDD
hsa-mir-489,Neuroblastoma,HMDD
hsa-mir-489,Sepsis,HMDD
hsa-mir-489,Ovarian Neoplasms,HMDD
hsa-mir-489,Multiple Myeloma,HMDD
hsa-mir-489,Myocardial Reperfusion Injury,HMDD
hsa-mir-489,Psoriasis,HMDD
hsa-mir-410,Urinary Bladder Neoplasms,HMDD
hsa-mir-410,Immune System Diseases,HMDD
hsa-mir-410,Hypertension and Pulmonary,HMDD
hsa-mir-410,Vascular Remodeling,HMDD
hsa-mir-410,Inflammatory Bowel Diseases,HMDD
hsa-mir-410,Cardiomegaly,HMDD
hsa-mir-410,Arthritis and Rheumatoid,HMDD
hsa-mir-410,Melanoma,HMDD
hsa-mir-410,Osteosarcoma,HMDD
hsa-mir-410,Glioma,HMDD
hsa-mir-410,Somatotroph   Adenomas,HMDD
hsa-mir-410,ACTH-Secreting Pituitary Adenoma,HMDD
hsa-mir-410,Brain Ischemia,HMDD
hsa-mir-410,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-410,Neonatal Sepsis,HMDD
hsa-mir-410,lung cancer,HMDD
hsa-mir-410,Osteoarthritis,HMDD
hsa-mir-410,Cognition Disorders,HMDD
hsa-mir-410,Diabetic Cardiomyopathies,HMDD
hsa-mir-410,Parkinson Disease,HMDD
hsa-mir-548e,Glioma,HMDD
hsa-mir-548e,Migraine Disorders,HMDD
hsa-mir-21,Insulinoma,HMDD
hsa-mir-21,Primary Ovarian Insufficiency,HMDD
hsa-mir-584,Respiratory Distress Syndrome,HMDD
hsa-mir-584,Inflammation,HMDD
hsa-mir-584,Acute Lung Injury,HMDD
hsa-mir-584,Urinary Bladder Neoplasms,HMDD
hsa-mir-584,Atherosclerosis,HMDD
hsa-mir-584,Ovarian Neoplasms,HMDD
hsa-mir-584,Uterine Cervical Neoplasms,HMDD
hsa-mir-584,Melanoma,HMDD
hsa-mir-584,pancreatic cancer,HMDD
hsa-mir-134,Inflammation,HMDD
hsa-mir-134,Fibrosis,HMDD
hsa-mir-134,Osteochondritis Dissecans,HMDD
hsa-mir-134,Seizures,HMDD
hsa-mir-134,Neurotic Disorders,HMDD
hsa-mir-134,Substance-Related Disorders,HMDD
hsa-mir-134,Hyperphagia,HMDD
hsa-mir-134,Premature Birth,HMDD
hsa-mir-134,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-134,Parkinson Disease,HMDD
hsa-mir-134,Hypoxia-Ischemia and Brain,HMDD
hsa-mir-134,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-134,Carcinoma and Squamous Cell and Skin,HMDD
hsa-mir-134,Angelman Syndrome,HMDD
hsa-mir-134,Myocardial Ischemia,HMDD
hsa-mir-134,Femur Head Necrosis,HMDD
hsa-mir-219a,Stomach Neoplasms,HMDD
hsa-mir-219a,Neuroaxonal Dystrophies,HMDD
hsa-mir-219a,Demyelinating Diseases,HMDD
hsa-mir-219a,Gestational Trophoblastic Disease,HMDD
hsa-mir-219a,Irritable Bowel Syndrome,HMDD
hsa-mir-219a,Gallbladder Neoplasms,HMDD
hsa-mir-219a,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-219a,Liver Cirrhosis,HMDD
hsa-mir-7002,Thyroid Neoplasms,HMDD
hsa-mir-7002,Inflammation,HMDD
hsa-mir-544,Fanconi Syndrome,HMDD
hsa-mir-544,Diabetic Nephropathies,HMDD
hsa-mir-145a,Arthritis,HMDD
hsa-mir-145a,Inflammation,HMDD
hsa-mir-145a,Osteoporosis,HMDD
hsa-mir-145a,Myocardial Infarction,HMDD
hsa-mir-145a,Cardiomegaly,HMDD
hsa-mir-23c,Spinal Cord Injuries,HMDD
hsa-mir-23c,Endometrial Neoplasms,HMDD
hsa-mir-25,Hypoxia-Ischemia and Brain,HMDD
hsa-mir-25,Cognition Disorders,HMDD
hsa-mir-570,Spinal Cord Injuries,HMDD
hsa-mir-640,Acute Lung Injury,HMDD
hsa-mir-640,Glioma,HMDD
hsa-mir-154,Glioblastoma,HMDD
hsa-mir-154,Alveolar Bone Loss,HMDD
hsa-mir-154,Mouth Neoplasms,HMDD
hsa-mir-154,Diabetic Nephropathies,HMDD
hsa-mir-154,Pulmonary Fibrosis,HMDD
hsa-mir-154,Thyroid Neoplasms,HMDD
hsa-mir-154,Carcinoma and Renal Cell,HMDD
hsa-mir-154,Intervertebral Disc Degeneration,HMDD
hsa-mir-505,Uterine Cervical Neoplasms,HMDD
hsa-mir-505,Primary Graft Dysfunction,HMDD
hsa-mir-505,Osteoporosis,HMDD
hsa-mir-505,Glioblastoma,HMDD
hsa-mir-505,Cholangiocarcinoma,HMDD
hsa-mir-505,Pancreatic Carcinoma,HMDD
hsa-mir-505,Colorectal Neoplasms,HMDD
hsa-mir-505,Myocarditis,HMDD
hsa-mir-505,Ovarian Neoplasms,HMDD
hsa-mir-708,Fibrosis,HMDD
hsa-mir-708,Carcinoma and Hepatocellular,HMDD
hsa-mir-708,Neoplasms and Second Primary,HMDD
hsa-mir-708,Ventricular Premature Complexes,HMDD
hsa-mir-708,Coronary Artery Disease,HMDD
hsa-mir-708,Glaucoma,HMDD
hsa-mir-708,Fatty Liver,HMDD
hsa-mir-708,Esophageal Neoplasms,HMDD
hsa-mir-708,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-708,Glioma,HMDD
hsa-mir-708,Prostatic Neoplasms,HMDD
hsa-mir-708,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-708,Osteomyelitis,HMDD
hsa-mir-708,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-708,Colonic Neoplasms,HMDD
hsa-mir-328a,Cranial Nerve Injuries,HMDD
